X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-4.19986903299997,51.056909316,119,Appledore,ALB/ILB,Devon,South West,South West,GBR,South West,24,51.05697632,-4.19973278,https://rnli.org/find-my-nearest/lifeboat-stations/appledore-lifeboat-station
-2.99729999999994,51.2337000000001,120,Burnham-on-Sea,ILB,Somerset,South West,Wales South & Severn,GBR,South West,24,51.23371887,-2.99720001,https://rnli.org/find-my-nearest/lifeboat-stations/burnham-on-sea-lifeboat-station
-4.39759999999995,50.9983,121,Clovelly,ILB,Devon,South West,South West,GBR,South West,24,50.99832535,-4.39756823,https://rnli.org/find-my-nearest/lifeboat-stations/clovelly-lifeboat-station
-4.11608836999994,51.2096628450001,122,Ilfracombe,ALB/ILB,Devon,South West,South West,GBR,South West,24,51.20965958,-4.11611509,https://rnli.org/find-my-nearest/lifeboat-stations/ilfracombe-lifeboat-station
-3.47522422099996,51.2140493960001,123,Minehead,ILB,Somerset,South West,Wales South & Severn,GBR,South West,24,51.21402359,-3.47530603,https://rnli.org/find-my-nearest/lifeboat-stations/minehead-lifeboat-station
-3.26192265599997,51.3932990610001,124,Barry Dock,ALB/ILB,South Glamorgan,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,25,51.39315033,-3.26149702,https://rnli.org/find-my-nearest/lifeboat-stations/barry-dock-lifeboat-station
-3.16900999999996,51.4325298150001,125,Penarth,ILB,South Glamorgan,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,25,51.43255997,-3.16901898,https://rnli.org/find-my-nearest/lifeboat-stations/penarth-lifeboat-station
-3.70205905899996,51.4741691090001,126,Porthcawl,ILB,South Glamorgan,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,25,51.47415161,-3.70202208,https://rnli.org/find-my-nearest/lifeboat-stations/porthcawl-lifeboat-station
-2.75678626299998,51.493793173,127,Portishead,ILB,Somerset,South West,Wales South & Severn,GBR,South West,24,51.493892,-2.756968,https://rnli.org/find-my-nearest/lifeboat-stations/portishead-lifeboat-station
-2.98800599999993,51.352089,128,Weston-Super-Mare,ILB,Somerset,South West,Wales South & Severn,GBR,South West,24,51.35225296,-2.98818493,https://rnli.org/find-my-nearest/lifeboat-stations/weston-super-mare-lifeboat-station
-4.24844943999994,51.6797132820001,129,Burry Port,ILB,Carmarthenshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,26,51.67973328,-4.24847794,https://rnli.org/find-my-nearest/lifeboat-stations/burry-port-lifeboat-station
-4.20109999999994,51.5483,130,Horton and Port Eynon,ILB,Swansea,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,26,51.5483017,-4.20110083,https://rnli.org/find-my-nearest/lifeboat-stations/horton-and-port-eynon-lifeboat-station
-3.81683698099994,51.5935380160001,131,Port Talbot,ILB,Neath Port Talbot,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,26,51.59354401,-3.81685591,https://rnli.org/find-my-nearest/lifeboat-stations/port-talbot-lifeboat-station
-4.69372854099993,51.6730892510001,132,Tenby,ALB/ILB,Pembrokeshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,26,51.67302322,-4.69381714,https://rnli.org/find-my-nearest/lifeboat-stations/tenby-lifeboat-station
-3.97417497599997,51.5698547360001,133,The Mumbles,ALB/ILB,Swansea,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,26,51.56985474,-3.97417498,https://rnli.org/find-my-nearest/lifeboat-stations/the-mumbles-lifeboat-station
-5.07903793099996,51.689476347,134,Angle,ALB/ILB,Pembrokeshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,27,51.68939209,-5.07906294,https://rnli.org/find-my-nearest/lifeboat-stations/angle-lifeboat-station
-4.98419999999993,52.0133000000001,135,Fishguard,ALB/ILB,Pembrokeshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,27,52.01329803,-4.98410177,https://rnli.org/find-my-nearest/lifeboat-stations/fishguard-lifeboat-station
-5.10711653299995,51.773168438,136,Little and Broad Haven,ILB,Pembrokeshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,27,51.77315521,-5.10714912,https://rnli.org/find-my-nearest/lifeboat-stations/little-and-broad-haven-lifeboat-station
-5.30910487599994,51.878558765,137,St Davids,ALB/ILB,Pembrokeshire,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,27,51.87858582,-5.30905199,https://rnli.org/find-my-nearest/lifeboat-stations/st-davids-lifeboat-station
-4.04566338799998,52.543235564,138,Aberdovey,ILB,Gwynedd,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,28,52.54315948,-4.04566193,https://rnli.org/find-my-nearest/lifeboat-stations/aberdovey-lifeboat-station
-4.08892345999993,52.4087825,139,Aberystwyth,ILB,Ceredigion,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,28,52.40875244,-4.08892584,https://rnli.org/find-my-nearest/lifeboat-stations/aberystwyth-lifeboat-station
-4.05579999999998,52.7209,140,Barmouth,ALB/ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,28,52.7209549,-4.05568218,https://rnli.org/find-my-nearest/lifeboat-stations/barmouth-lifeboat-station
-4.05137713599993,52.4812620480001,141,Borth,ILB,Ceredigion,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,28,52.48120117,-4.05140209,https://rnli.org/find-my-nearest/lifeboat-stations/borth-lifeboat-station
-4.69949999999994,52.1047,142,Cardigan,ILB,Ceredigion,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,28,52.10474014,-4.69953299,https://rnli.org/find-my-nearest/lifeboat-stations/cardigan-lifeboat-station
